Thaw Number,YPC Number,YPC Component,Thaw Name,YPC Name,BD Number,Thaw RA1900,Thaw Dec1900,YPC RA1900,YPC Dec1900,RA1950,Dec1950,RA2000,Dec2000,Thaw B,YPC (B-V),YPC V,Thaw Spectrum,YPC Spectrum,Thaw Rel. Parallax,Thaw Rel. Parallax Error,Delta Pi,Thaw Abs. Parallax,Yale Abs. Parallax,Yale Abs. Parallax Error,Yale Tot. PM,Yale PM Position Angle,No. of Thaw Observations,Thaw Footnotes,Index Card Match Entry,Index Card Field Name,Index Card Mag.,Index Card RA,Index Card Dec,Index Card Equinox,Observations
,537.0,A,,EPS Cet,,,,02 34 43.5,-12 17 47,02 37 08.089,12 04 47.7932,02 39 33.8,-11 52 19,,5.58,0.44,,F5   V,,,,,61,6.3,0.276,148,44,,257,epsilon_Ceti,5,02 37 08.00,-12 05 00.0,1950,"['44490 2f 19310830 fog', '44593 g 19310911 _', '44614 k 19310912 _', '44656 k 19310917 _', '45289 g 19311229 _', '45326 g 19320109 _', '46635 k 19320826 _', '46640 k 19320827 _', '47357 k 19321226 _', '47384 k 19330101 _', '48740 g 19330828 _', '48879 g 19330916 _', '49514 k 19340103 _', '49527 g 19340111 _', '50933 k 19340827 _', '51028 k 19340909 _', '51603 p 19350102 _', '51616 g 19350104 _', '51626 g 19350105 _', '52608 k 19350828 _', '52644 g 19350906 _', '56019 g 19371223 _', '56081 k 19380109 _', '57154 g 19380924 _', '58717 k 19390831 _', '60338 g 19400918 _', '62960 k 19420123 _', '63693 g 19420922 _', '65512 g 19430914 _', '66306 g 19431231 _', '66395 g 19440117 _', '67512 g 19440830 _', '67517 2k 19440831 _', '67562 g 19440908 _', '108410 f 19760821 _', '108424 f 19760830 _', '108435 k 19760902 _', '108453 g 19760906 _', '108466 k 19760907 _', '108504 g 19760924 _', '108644-5 f 19761213 _', '108680-1 g 19761218 _', '108689 g 19770105 _', '109132 g 19770928 _']"
1989,887.0,,GC 4849,Lac 7443,+34 796.0,03 56 30.00,+35 02 00.00,03 56 31.9,+35 01 56,03 59 46.057,+35 10 24.1895,04 03 15.0,+35 16 25,8.6,8.51,0.86,K0,K1   V   *,43,5,,,54,1.4,2.201,127,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,1137.0,,9 Aur,9 Aur,+51 1024.0,04 58 48.00,+51 28 00.00,04 58 50.5,+51 27 53,05 02 45.397,+51 32 09.0553,05 06 40.6,+51 35 51,5,5.0,0.33,F0,F0   V,57,5,,,49,7.3,0.178,187,35,,438,9_Aurigae,5,05 02 45.00,+51 32 01.0,1950,"['1340 4f 19150228 +23', '1367 4k 19150301 +17', '1393 k 19150303 +22', '3461 2k 19151003 +5', '3556 k 19151010 +13', '3699 4k 19151020 -15', '3724 p 19151021 +6', '7167 p 19161002 0', '7244 4k 19161005 +5', '7265 k 19161007 +10', '7300 4k 19161010 +3', '8735 k 19160215 +4', '10720 f 19171002 _', '11925 p 19180131 _', '11972 g 19180202 _', '12021 f 19180211 _', '12147 p 19180223 _', '12211 k 19180303 _', '21709 k 19200922 _', '21732 k 19200923 _', '21777 g 19200926 _', '26650 k 19220228 fog', '26695 g 19220305 _', '28544 g 19220926 _', '28603 k 19220929 _', '31204 k 19231003 _', '32157 g 19240216 _', '32163 k 19240218 _', '32172 g 19240226 _', '33485 g 19241001 _', '33504 g 19241002 _', '33523 k 19241003 _', '34104 g 19250206 _', '34175 g 19250215 _', '34247 g 19250223 _']"
1991,1450.02,,LTT 11818,L 1244-26,,06 09 36.00,+17 45 00.00,06 09 29.0,+17 45 36,06 12 24.041,17 44 48.147,06 15 18.7,+17 43 10,,13.39,-0.17,DA,DA2,23,5,,,27,2.2,0.377,188,16,,546,L_1244-26,12.9,06 12 30.00,+17 44 _,1950,"['290 ~ 19141011 0', '315 ~ 19141019 -23', '336 ~ 19141020 +14', '362 ~ 19141021 -23', '1197 f 19150217 0', '1223 g 19150218 0', '1277 g 19150220 0', '3873 ~ 19151030 +13', '3922 ~ 19151101 +13', '3983 f 19151107 +17', '4000 ~ 19151108 +16', '8782 k 19170220 +9', '8806 k 19170222 +14', '8864 g 19170306 +5', '10782 k 19171010 _', '10912 f 19171027 _']"
1992,1528.01,,49 Aur,49 Aur,+28 1168.0,06 28 54.00,+28 06 00.00,06 28 54.1,+28 06 01,06 32 03.11,8 03 48.0791,06 35 12.0,+28 01 20,5,5.27,-0.03,A0,A0   Vnn,-5,6,,,-1,9.8,0.016,182,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,1667.0,,45 Gem,OSIG  165,+16 1397.0,07 02 36.00,+16 05 00.00,07 02 37.9,+16 05 25,07 05 30.050,+16 00 48.4066,07 08 22.0,+15 55 49,5.6,5.44,1.03,K0,G8   III,1,4,,,5,6.6,0.107,186,22,,637,45_Gem,5.6,07 05 30.00,+16 00 44.0,1950,"['16248 k 19190322 _', '16278 k 19190323 _', '16306 k 19190324 _', '18545 k 19191017 _', '18585 g 19191018 _', '18776 k 19191108 _', '19590 k 19200229 _', '19646 g 19200302 _', '19680 k 19200303 _', '22056 g 19201013 _', '22159 g 19201018 _', '22252 k 19201022 _', '23179 k 19210301 _', '23184 f 19210305 _', '23194 k 19210308 _', '25583 k 19211013 _', '25666 k 19211016 _', '25716 k 19211021 _', '25852 k 19211105 _', '26750 g 19220308 _', '26806 g 19220312 _', '26819 g 19220313 _']"
1994,1890.0,,"Ci20, 451",CI 20-451,,07 54 18.00,+29 18 00.00,07 54 18.0,+29 17 06,07 57 24.370,+29 09 00.5709,08 00 30.1,+28 59 56,,11.0,--,G2,G2,7,8,,,8,4.4,0.481,184,31,,727,1890,10.5,07 57 23.00,+29 09 00.0,1950,"['19824 3k 19200323 _', '19847 k 19200324 _', '19872 k 19200326 _', '22277 k 19201023 _', '22372 k 19201110 _', '22547 g 19201129 _', '23234 k 19210310 _', '23270 k 19210311 _', '23398 k 19210325 _', '25841 g 19211103 _', '25860 g 19211105 _', '25885 g 19211107 _', '26836 k 19220315 _', '26876 k 19220317 _', '26908 g 19220323 _', '28950 k 19221028 _', '28968 k 19221030 _', '28983 k 19221031 _', '29026 k 19221110 _', '29828 g 19230318 _', '29858 g 19230324 _', '29905 k 19230331 _', '33751 g 19241030 _', '34430 g 19250323 _', '35578 g 19251101 _', '35717 k 19251118 _', '37318 g 19261112 _', '37664 g 19270315 _', '37669 g 19270316 _', '37677 g 19270324 _', '66448 g 19440125 _']"
1995,2148.0,,Rho UMa,RHO UMa,+68 551.0,08 53 30.00,+68 01 00.00,08 53 31.9,+68 01 09,08 58 04.188,+67 49 33.2767,09 02 32.7,+67 37 46,5,4.76,1.53,Ma,M3   III-*,15,5,,,10,6.6,0.027,307,40,,817,8_Ursa_Major,5,08 58 03.00,+67 49 35.0,1950,"['41916 g 19300409 _', '41925 g 19300414 _', '42818 k 19301120 _', '43548 g 19310404 _', '43590 k 19310411 _', '45251 g 19311218 _', '45605 g 19320328 _', '47815 g 19330328 _', '49481 g 19331223 _', '50021 g 19340409 _', '54646 g 19361121 _', '54723 g 19361215 _', '54056 g 19370329 _', '56263 g 19380321 _', '57577 2k 19381121 _', '59400 4k 19391223 _', '61247 g 19410322 _', '61359 g 19410408 _', '62710 k 19411115 _', '62775 g 19411117 _', '63191 g 19420413 _', '64124 k 19421208 _', '64508 g 19430406 _', '64556 k 19430413 _', '65950 k 19431114 _', '66163 g 19431205 _', '66755 g 19440406 _', '70287 g 19460405 _', '71678 k 19461204 _', '73427 k 19480328 _', '78763 g 19510406 _', '81962 2k 19521112 _', '81981 ~ 19521116 _', '82248 k 19530405 _', '83609 g 19531117 _', '83649 g 19531119 _', '83654 f 19531120 _', '83662 k 19531129 _', '84138 2g 19540323 _', '84162 4g 19540404 _']"
1996,2199.03,,18 UMa,18 UMa,+54 1285.0,09 09 00.00,+54 26 00.00,09 08 59.6,+54 26 05,09 12 35.933,+54 13 43.5849,09 16 11.3,+54 01 18,4.9,4.83,0.19,A5,A5   V,36,7,,,40,11.1,0.075,39,24,,835,18_Ursa_Major,4.9,09 12 36.00,+54 13 47.0,1950,"['1727 4f 19150407 +6', '1753 3g 19150408 +15', '1782 5f 19150413 0', '4126 4p 19151115 -2', '4148 4f 19151116 0', '4190 4p 19151117 +2', '5000 5g 19160404 +6', '5054 5g 19160409 +3', '5127 4f 19160415 +2', '8016 4f 19161125 -3', '8055 ~ 19161129 0', '9056 k 19170403 0', '9107 4f 19170409 +2', '11266 f 19171110 _', '11287 g,2p 19171111 _', '11304 p 19171112 do_not_measure', '11348 f 19171113 _', '51870 g 19350418 _', '68329 g 19450224 _', '70020-1 g 19460216 _', '70142 g 19460310 _', '70233 g 19460327 _', '70345-6 g 19460417 _', '71972 ~ 19470403 _']"
1997,,,32 Hyd,,+0 2211.0,09 26 54.00,+0 45 00.00,,,0,0,,,4.5,--,--,A3,--,20,7,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,2378.01,,21 LMi,21 LMi,+35 2110.0,10 01 30.00,+35 44 00.00,10 01 31.9,+35 43 55,10 04 28.954,+35 29 20.3769,10 07 25.7,+35 14 40,4.5,4.48,0.18,A5,A7   V,42,7,,,47,11.1,0.052,91,22,,901,21_Leo_Minor,4.5,10 04 29.00,+35 29 21.0,1950,"['8305 f 19161222 0', '8353 f 19161225 -12', '12787 k 19180427 _', '12842 k 19180505 _', '14923 k 19181201 _', '15068 k 19181217 _', '16611 k 19190422 _', '19148 k 19191219 _', '19171 k 19191221 _', '20045 k 19200421 _', '20096 k 19200429 _', '23664 g 19210419 _', '23688 k 19210425 _', '25952 k 19211121 _', '26020 k 19211206 _', '26073 g 19211219 _', '27026 p 19220418 _', '27060 g 19220423 _', '27081 g 19220424 _', '27095 k 19220428 _', '29202 g 19221203 _', '29299 g 19221220 _']"
1999,2429.0,,GC 14225,Bradley 143,+41 2076.0,10 16 12.00,+41 44 00.00,10 16 13.9,+41 44 13,10 19 13.186,+41 29 08.748,10 22 10.6,+41 13 46,5.9,5.76,0.54,F5,F7   V,18,6,,,43,6.6,0.178,219,3,,919,Br_1433,5.9,10 19 13.00,+41 29 02.0,1950,"['102712-3 g 19690412 _', '102780-1 g 19690426 _', '104250-1 g 19710103 _']"
2000,2617.02,,GC 15485,G 119-065,+53 1480.0,11 10 18.00,+53 19 00.00,11 10 18.8,+53 19 00,11 13 11.123,+53 02 39.718,11 16 04.0,+52 46 23,6.3,13.1,1.42,F2,M0   V,51,6,,,20,3.2,0.171,73,23,,993,Gr_1755,6.3,11 13 12.00,+53 02 42.0,1950,"['76779 p 19500307 _', '76869 k 19500319 _', '78575 g 19510225 _', '78769 ~ 19510406 WR*', '80379 3g 19520219 _', '80582 ~ 19520409 _', '80660 2g,k 19520420 _', '80730 k,f 19520502 _', '83941-2 k 19540219 _', '84049 g 19540309 _', '84180 p 19540409 _', '85563 k,2f 19550312 _', '85749-0 g 19550330 _', '87706-7 k 19560420 _', '90381-2 f 19580124 _', '93357 k 19610107 _', '97529-0 k 19640425 _', '99292 k 19651230 _', '100460-1 ~ 19661217 _', '103458-9 f 19700201 _', '105643 ~ 19720426 _', '106634-6 g 19730323 _', '107780-1 g 19740510 _']"
,2617.03,M,,,,,,11 10 18.0,+53 19 00,11 13 10.328,+53 02 39.7301,11 16 01.4,+52 46 18,,6.5,0.43,,"F6+F9V,V",,,,,54,9.8,0.165,,23,,993,Gr_1755,6.3,11 13 12.00,+53 02 42.0,1950,"['76779 p 19500307 _', '76869 k 19500319 _', '78575 g 19510225 _', '78769 ~ 19510406 WR*', '80379 3g 19520219 _', '80582 ~ 19520409 _', '80660 2g,k 19520420 _', '80730 k,f 19520502 _', '83941-2 k 19540219 _', '84049 g 19540309 _', '84180 p 19540409 _', '85563 k,2f 19550312 _', '85749-0 g 19550330 _', '87706-7 k 19560420 _', '90381-2 f 19580124 _', '93357 k 19610107 _', '97529-0 k 19640425 _', '99292 k 19651230 _', '100460-1 ~ 19661217 _', '103458-9 f 19700201 _', '105643 ~ 19720426 _', '106634-6 g 19730323 _', '107780-1 g 19740510 _']"
,2617.03,A,,,,,,11 10 18.0,+53 19 00,11 13 10.328,+53 02 39.7301,11 16 01.4,+52 46 18,,6.5,0.43,,F6   V,,,,,54,9.8,0.165,,23,,993,Gr_1755,6.3,11 13 12.00,+53 02 42.0,1950,"['76779 p 19500307 _', '76869 k 19500319 _', '78575 g 19510225 _', '78769 ~ 19510406 WR*', '80379 3g 19520219 _', '80582 ~ 19520409 _', '80660 2g,k 19520420 _', '80730 k,f 19520502 _', '83941-2 k 19540219 _', '84049 g 19540309 _', '84180 p 19540409 _', '85563 k,2f 19550312 _', '85749-0 g 19550330 _', '87706-7 k 19560420 _', '90381-2 f 19580124 _', '93357 k 19610107 _', '97529-0 k 19640425 _', '99292 k 19651230 _', '100460-1 ~ 19661217 _', '103458-9 f 19700201 _', '105643 ~ 19720426 _', '106634-6 g 19730323 _', '107780-1 g 19740510 _']"
,2617.03,B,,,,,,11 10 18.0,+53 19 00,11 13 10.328,+53 02 39.7301,11 16 03.4,+52 46 22,,8.03,0.6,,F9   V,,,,,,,0.182,77,23,,993,Gr_1755,6.3,11 13 12.00,+53 02 42.0,1950,"['76779 p 19500307 _', '76869 k 19500319 _', '78575 g 19510225 _', '78769 ~ 19510406 WR*', '80379 3g 19520219 _', '80582 ~ 19520409 _', '80660 2g,k 19520420 _', '80730 k,f 19520502 _', '83941-2 k 19540219 _', '84049 g 19540309 _', '84180 p 19540409 _', '85563 k,2f 19550312 _', '85749-0 g 19550330 _', '87706-7 k 19560420 _', '90381-2 f 19580124 _', '93357 k 19610107 _', '97529-0 k 19640425 _', '99292 k 19651230 _', '100460-1 ~ 19661217 _', '103458-9 f 19700201 _', '105643 ~ 19720426 _', '106634-6 g 19730323 _', '107780-1 g 19740510 _']"
2001,2992.01,,14 CVn,14 CVn,+36 2337.0,13 01 06.00,+36 20 00.00,13 01 03.8,+36 20 02,13 03 24.35,6 03 56.3223,13 05 44.4,+35 47 56,5.1,5.25,-0.08,B9,B9   V,4,7,,,8,11.1,0.037,296,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,3032.01,,HZ 43,HZ 43,,13 11 36.00,+29 38 00.00,13 11 36.0,+29 38 00,13 13 57.862,+29 22 07.7151,13 16 18.5,+29 06 10,,12.68,-0.12,DA,DA1,21,11,,,15,2.9,0.176,236,35,,1186,HZ_43,12,13 14 00.00,+29 22 00.0,1950,"['15705 ~ 19190201 _', '15737 k 19190204 _', '15773 k 19190205 _', '16824 f 19190525 _', '17084 k 19190609 _', '19282 p 19200104 _', '19352 f 19200125 _', '19498 g 19200210 _', '20361 k 19200526 _', '20382 p 19200527 _', '20425 k 19200529 _', '22985 g 19210127 _', '23038 k 19210213 _', '23076 k 19210214 _', '24024 g 19210529 _', '24101 k 19210601 _', '24152 g 19210605 _', '26260 k 19220115 _', '26401 k 19220125 _', '26433 k 19220126 _', '27357 g 19220523 _', '27434 g 19220529 _', '27481 g 19220605 _', '29388 g 19230601 _', '29469 k 19230121 _', '34765 k 19250529 _', '34771 g 19250530 _', '34790 g 19250601 _', '35957 g 19260116 _', '37573 k 19270304 _', '37851 g 19270527 _', '37864 g 19270528 _', '39054 f 19280122 _', '39085 g 19280127 _', '39104 g 19280202 _']"
2003,3268.0,,GC 19428,,+6 2875.0,14 19 12.00,+6 16 00.00,14 19 12.6,+06 16 25,14 21 42.120,+06 02 45.0237,14 24 11.3,+05 49 12,5.1,5.1,0.12,A3,A5   V,14,7,,,22,8.6,0.08,272,32,,1303,Lal_26315,5.1,14 21 41,+06 02 45,1950,"['16095 k 19190307 _', '17123 p 19190612 _', '19390 k 19200126 _', '19547 g 19200219 _', '19659 g 19200302 _', '20563 k 19200611 _', '20695 k 19200624 _', '20724 k 19200625 _', '22991 g 19210127 _', '23045 k 19210213 _', '23208 k 19210309 _', '24228 g 19210610 _', '24259 k 19210613 _', '24307 g 19210619 _', '26407 k 19220125 _', '26492 k 19220129 _', '26549 g 19220131 _', '27553 k 19220612 _', '27608 k 19220617 _', '27616 k 19220618 _', '27707 k 19220624 _', '29474 k 19230121 _', '29577 k 19230211 _', '29642 k 19230223 _', '32834 k 19240614 _', '32849 g 19240617 _', '32852 g 19240618 _', '32874 k 19240621 _', '33993 f 19250121 _', '34071 g 19250205 _', '34086 g 19250206 _', '34162 g 19250214 _']"
2004,3353.01,,LFT 1146,G 066-032,,14 45 54.00,+7 58 00.00,14 45 54.0,+07 58 00,14 48 21.520,+07 45 32.5269,14 50 43.7,+07 32 30,,15.46,0.04,DA,DA4,28,11,,,8,4.0,0.924,243,2,,1351,L_1126-68,15,14 48 24,+07 46.2 _,1950,"['97364 f 19640204 _', '99814 2g 19660619 _']"
2005,3496.0,,"Ci20, 933",G 137-008,,15 23 42.00,+17 04 00.00,15 23 42.0,+17 04 00,15 25 59.764,+16 53 32.0569,15 28 11.3,+16 43 02,,13.77,1.35,K5,K5   d,24,9,,,17,3.8,0.926,264,33,,1415,5Y2_3496,14,15 25 58,+16 53 36,1950,"['16152 k 19190311 _', '16218 k 19190320 _', '16234 p 19190321 _', '17227 k 19190628 _', '17292 g 19190701 _', '19604 p 19200229 _', '19760 k 19200320 _', '19831 k 19200323 _', '20751 g 19200626 _', '20874 k 19200709 _', '20932 k 19200713 _', '23092 g 19210214 _', '23385 k 19210322 _', '24411 g 19210627 _', '24433 k 19210630 _', '26768 k 19220308 _', '26845 k 19220315 _', '26893 g 19220322 _', '27798 k 19220706 _', '27891 k 19220713 _', '27896 g 19220714 _', '29648 g 19230223 _', '29766 g 19230314 _', '29810 k 19230317 _', '35055 k 19250713 _', '35074 g 19250715 _', '36060 g 19260228 _', '36152 f 19260321 _', '36676 k 19260627 _', '36692 g 19260628 _', '36746 k 19260711 _', '37685 g 19270329 _', '37696 g 19270406 _']"
2006,3541.0,,GC 21044,,+47 2253.0,15 35 06.00,+47 08 00.00,15 35 03.9,+47 07 37,15 36 39.525,+46 57 47.3158,15 38 16.1,+46 47 51,5.8,5.75,0.36,F0,F2   V,5,8,,,8,9.9,0.154,147,36,,1433,Lal_28600,5.8,15 36 40,+46 57 41,1950,"['48260 ~ 19330617 _', '50134 ~ 19340428 _', '50653 ~ 19340709 _', '52183 ~ 19350618 _', '53828 ~ 19360608 _', '57981 ~ 19390524 _', '58017 ~ 19390530 _', '58040 ~ 19390604 _', '59890 ~ 19400713 _', '61932 ~ 19410709 _', '61948 ~ 19410713 _', '64798 ~ 19430617 _', '67170 ~ 19440630 _', '67218 ~ 19440710 _', '68867 ~ 19450523 _', '69071 ~ 19450704 _', '70785 ~ 19460710 _', '72188 ~ 19470531 _', '73733 ~ 19480616 _', '73810 ~ 19480709 _', '75042 ~ 19490530 _', '77155 ~ 19500601 _', '77199 ~ 19500606 _', '80797 k 19520526 _', '80969 2f,p 19520617 _', '81055 k 19520630 _', '100784-5 k,f 19670503 _', '100860-1 g 19670602 _', '100885-6 3g,k 19670604 _', '100954-5 p,k 19670613 _', '101685-6 2k,2g 19680305 _', '101704-5 g 19680308 _', '101829-0 g 19680412 _', '101859-0 g 19680413 _', '101900-1 g 19680508 _', '102855-6 k 19690527 _']"
2007,3552.0,,GC 21124,Lal 28607,-10 4149.0,15 37 42.00,-10 36 00.00,15 37 42.4,-10 36 23,15 40 26.370,-10 46 01.2673,15 43 03.0,-10 56 01,7.3,7.21,0.49,F2,F5   sd,14,9,,,16,1.6,1.166,255,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,3629.1,,LTT 14769,LTT 14769,,15 57 48.00,+37 06 00.00,15 57 48.0,+37 06 00,15 59 38.152,+36 57 33.9545,16 01 29.4,+36 48 19,14.1,14.36,0.17,DA,DAV5,19,6,,,30,3.3,0.57,169,20,,1476,R_808,14.1,15 59 36,+36 57 _,1950,"['9915 ~ 19170724 +20', '12210 f 19180302 _', '12407 k 19180317 _', '12552 k 19180327 _', '13520 g 19180708 _', '13570 k 19180714 _', '16115 k 19190309 _', '16155 k 19190311 _', '17312 k 19190702 _', '17416 g 19190711 _', '17424 k 19190712 _', '19763 k 19200320 _', '19811 g 19200322 _', '19955 k 19200409 _', '20876 p 19200709 _', '20933 p 19200713 _', '20998 g 19200717 _', '21020 k 19200720 _', '53866 k 19360616 _', '70851 ~ 19460717 _']"
2009,3693.01,,LTT 6497,LTT 6497,,16 12 12.00,-15 22 00.00,16 12 12.0,-15 22 00,16 15 02.161,-15 29 28.7587,16 17 51.4,-15 37 04,,13.4,-0.25,DA,DA2,6,9,,,8,13.9,0.248,226,40,,1505,L_770-3,12,16 15 05,-15 28.5 _,1950,"['70279 g 19460402 broken', '70303 g 19460407 _', '70340 g 19460413 _', '70372 g 19460419 _', '70799 ~ 19460712 WR*', '70812 g 19460713 _', '70852 g 19460717 _', '70860 g 19460718 _', '71919 f 19470313 _', '71961 2k 19470331 _', '71979 k 19470408 _', '72000 g 19470418 _', '72346 g 19470701 _', '72355 k 19470702 _', '73436 k 19480329 _', '73493 g 19480418 _', '73499 k 19480422 fog', '73769 k 19480701 _', '73784 g 19480704 _', '73792 k 19480706 _', '74703 g 19490329 _', '74729 g 19490330 _', '74773 g 19490405 _', '74814 k 19490417 _', '75244 g 19490704 _', '75266 k 19490708 _', '75274 g 19490713 _', '76790 g 19500310 _', '76819 p 19500315 _', '76923 g,f 19500407 _', '77014 2f 19500507 _', '77347 g 19500625 _', '77478 f 19500709 _', '77500 g 19500712 _', '77523 g 19500716 _', '78670 2f 19510311 _', '78732 k 19510327 _', '78793 g 19510420 _', '78806 ~ 19510421 WR*', '79162 g 19510628 _']"
2010,3709.0,,GC 21907,Lal F 2762,+71 775.0,16 15 30.00,+71 11 00.00,16 15 32.2,+71 11 00,16 15 10.455,+71 03 38.0405,16 14 50.2,+70 55 47,7.8,7.9,0.63,G5,G5   d,40,6,,,42,7.9,0.286,182,15,,1511,Fed_2762,7.8,16 18 10,+71 03 24,1950,"['1664 ~ 19150330 0', '1681 ~ 19150403 -17', '1716 ~ 19150406 +29', '2557 ~ 19150610 +8', '2610 ~ 19150717 +6', '2675 ~ 19150722 -8', '2691 ~ 19150723 -11', '4897 ~ 19160319 +7', '4977 ~ 19160330 +7', '5015 ~ 19160405 +2', '5999 ~ 19160710 +22', '6037 ~ 19160712 -4', '6047 ~ 19160714 0', '9095 k 19160408 -3', '9137 k 19160410 -4']"
2011,3747.01,,"Ci20, 992",G 180-057,,16 24 54.00,+36 58 00.00,16 24 54.0,+36 58 00,16 26 41.654,+36 51 19.4853,16 28 25.4,+36 45 58,,13.84,0.17,DF,DZA6,54,6,,,62,2.0,0.864,326,38,,1531,Ross_640,13.2,16 26 48,+36 52 _,1950,"['12662 f 19180404 _', '12682 k 19180405 _', '12707 k 19180413 _', '13495 p 19180707 _', '13562 g 19180713 _', '13699 g 19180726 _', '16032 f 19190302 _', '16118 k 19190309 _', '16441 k 19190402 _', '17432 k 19190713 _', '17653 k 19190730 _', '17656 f 19190801 _', '19766 k 19200320 _', '19915 k 19200330 _', '19934 k 19200402 _', '20879 k 19200709 _', '21139 g 19200727 _', '21212 k 19200805 _', '23218 k 19210309 _', '23358 f 19210318 _', '23390 k 19210322 _', '28487 k 19210401 _', '30746 g 19230712 _', '30762 k 19230713 _', '30853 k 19230722 _', '32272 p 19240303 _', '32326 2k 19240316 _', '32345 g 19240317 _', '32433 g 19240403 _', '32981 g 19240710 _', '33002 g 19240711 _', '33042 k 19240717 _', '33424 k 19250323 _', '34444 g 19250324 _', '35046 g 19250712 _', '35056 k 19250713 _', '36111 g 19260306 _', '36154 g 19260321 _']"
2012,3897.01,,LTT 6847,LTT 6847,,17 05 42.00,-14 41 00.00,17 05 42.0,-14 41 00,17 08 32.755,-14 44 49.2183,17 11 25.6,-14 48 51,,14.3,0.02,DC,DQ6,2,12,,,3,18.2,0.371,132,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,3900.0,,GC 23181,G 170-022,+24 3137.0,17 06 30.00,+24 39 00.00,17 06 31.3,+24 38 58,17 08 35.146,+24 35 10.6162,17 10 37.6,+24 31 56,8.3,8.32,0.86,K1,K2   V,28,6,,,35,8.6,0.322,319,5,,1618,WB_101,8.3,17 08 34,+24 35 22,1950,"['48227 ~ 19330611 _', '48381 ~ 19330703 _', '50631 ~ 19340706 _', '55350 ~ 19370729 _', '75205 ~ 19490701 _']"
2014,3955.0,,GC 23592,G 019-024,+2 3312.0,17 20 48.00,+2 14 00.00,17 20 46.6,+02 13 59,17 23 17.725,+02 11 13.7216,17 25 45.2,+02 06 41,7.9,7.53,1.36,K6,K7   V,130,4,,,130,3.4,1.315,206,30,,1653,WB_322,7.9,17 23 15,+02 10 13,1950,"['28050 k 19220811 _', '28090 g 19220816 _', '28117 k 19220819 _', '29964 g 19230406 _', '30050 g 19230418 _', '30082 g 19230420 _', '30107 k 19230823 _', '30886 g 19230726 _', '30905 g 19230808 _', '30921 g 19230809 _', '32475 g 19240410 _', '32509 k 19240414 _', '32520 f 19240415 _', '32542 g 19240420 _', '32556 g 19240423 _', '33148 g 19240728 _', '33195 g 19240807 _', '33236 k 19240817 _', '34518 g 19250407 _', '34581 g 19250424 _', '34600 k 19250502 _', '34606 2f 19250503 _', '34613 g 19250508 _', '35208 g 19250815 _', '35233 k 19250819 _', '35256 g 19250822 _', '36205 g 19260410 _', '36275 g 19260421 _', '36808 g 19260729 _', '38192 g 19270723 _']"
2015,3989.01,,L846-54,L 846-54,,17 29 12.00,-13 54 00.00,17 29 12.0,-13 55 18,17 32 02.120,-13 57 26.1502,17 34 52.4,-13 59 22,,13.0,--,a,A-F  sd,-28,8,,,-26,12.5,0.053,,33,,1670,L_846-64,13.5,17 32 02,-13 56 00,1950,"['38262 g 19270811 _', '38282 g 19270824 _', '38308 g 19270826 _', '39346 f 19280411 _', '39384 g 19280418 _', '39398 g 19280501 _', '39786 g 19280730 _', '39790 g 19280801 _', '39793 g 19280804 _', '40705 g 19290419 _', '40735 f 19290506 _', '40766 g 19290511 _', '41125 g 19290728 _', '41129 g 19290729 _', '41159 g 19290801 _', '41166 g 19290807 _', '41946 g 19300427 _', '41997 g 19300508 _', '42007 g 19300510 _', '42452 g 19300801 _', '42502 g 19300813 _', '42506 g 19300814 _', '43570 g 19310408 _', '43689 k 19310416 _', '43739 k 19310421 _', '44307 g 19310725 _', '44318 g 19310726 _', '45700 g 19320415 _', '45764 k 19320422 _', '45834 g 19320503 _', '46366 g 19320724 _', '46473 g 19320805 _', '46485 g 19320806 _']"
2016,4060.1,,GC 24145,,+25 3344.0,17 42 36.00,+25 48 00.00,17 42 37.8,+25 47 15,17 44 39.278,+25 46 03.5268,17 46 40.6,+25 44 56,7,6.97,0.16,A2,A2   VI,5,5,,,5,7.3,0.061,217,22,,1700,#Lal_32518,6.9,17 44 39,+25 46 03,1950,"['9982 k 19170730 _', '9999 f 19170731 _', '10066 k 19170807 -2', '12841 2k 19180504 _', '12862 k 19180505 _', '12895 k 19180508 _', '13762 g 19180731 _', '13835 k 19180805 _', '13881 f 19180808 _', '16579 p 19190420 _', '16652 k 19190426 _', '16677 k 19190502 _', '16699 p 19190505 _', '17618 k,2p 19190727 _', '17686 k 19190802 _', '17736 g 19190809 _', '20057 g 19200421 _', '20089 p 19200428 _', '20119 k 19200501 _', '21165 g 19200728 _', '21219 f 19200806 _', '21225 k 19200808 _']"
